city,description,formal_name,link,location,name,rank,rating_star,recommend_rate,review_link,review_number,state,tuition_and_fees,undergraduate_enrollment,ci,ci_level,city,contributor,crime_index,dg,dg_level,loc,loc_level,pc,pc_level,pcb,pcb_level,pv,pv_level,safety_index,sd,sd_level,sn,sn_level,university,update,wa,wa_level,wbi,wbi_level,wbm,wbm_level,wbsc,wbsc_level,wcs,wcs_level,whb,whb_level,wtc,wtc_level,pcp_in_Apr,pcp_in_Aug,pcp_in_Dec,pcp_in_Feb,pcp_in_Jan,pcp_in_July,pcp_in_June,pcp_in_Mar,pcp_in_May,pcp_in_Nov,pcp_in_Oct,pcp_in_Sep,tmax_in_Apr,tmax_in_Aug,tmax_in_Dec,tmax_in_Feb,tmax_in_Jan,tmax_in_July,tmax_in_June,tmax_in_Mar,tmax_in_May,tmax_in_Nov,tmax_in_Oct,tmax_in_Sep,tmin_in_Apr,tmin_in_Aug,tmin_in_Dec,tmin_in_Feb,tmin_in_Jan,tmin_in_July,tmin_in_June,tmin_in_Mar,tmin_in_May,tmin_in_Nov,tmin_in_Oct,tmin_in_Sep,university,Bike_Main_Means,Bus_Trolleybus_Main_Means,Bus_Trolleybus_Ride_Bus_Trolleybus,CO2_Emission_Index,Car_Main_Means,Distance_Bus_Trolleybus,Distance_Car,Distance_Overall,Driving_Car_Car,Inefficiency_Index,Motorbike_Main_Means,Overall_Bus_Trolleybus,Overall_Car,Overall_Overall,Time_Exp_Index,Time_Index_in_minutes,Traffic_Index,Train_Metro_Main_Means,Train_Metro_Ride_Bus_Trolleybus,Tram_Streetcar_Main_Means,University,Waiting_Bus_Trolleybus,Walking_Bus_Trolleybus,Walking_Main_Means,Working_from_Home_Main_Means
Omaha,"Creighton University is a Jesuit institution in Omaha, Nebraska. Creighton has more than 200 student organizations on campus, ranging from the College Democrats to the Swing Dance Society. Many students are involved with student media outlets, which include a newspaper, literary magazine, radio station and yearbook. A thriving Greek community on campus includes more than 10 fraternities and sororities. Ministry also plays a significant role in student life. Creighton offers ministry opportunities such as retreats and community service. The Creighton Bluejays compete in the NCAA Division I Big East Conference. All first- and second-year students are required to live on campus.Creighton University is made up of nine undergraduate, graduate and professional schools and colleges. Graduate programs include those in the School of Law, School of Medicine, College of Nursing and School of Pharmacy and Health Professions. Creighton offers a semesterlong study abroad program in the Dominican Republic and grants credit for a variety of partner and affiliate programs. Students who do not want to go away for an entire semester can take advantage of the faculty-led summer abroad programs.",Creighton University,https://www.usnews.com/best-colleges/creighton-university-2542,"Omaha, NE",CREIGHTON UNIVERSITY,103,5.0,100%,https://www.usnews.com/best-colleges/creighton-university-2542/reviews,7.0,NE,44524.0,4458,70.54,High,"Omaha, NE",56.0,45.84,58.5,Moderate,56.25,Moderate,54.02,Moderate,32.84,Low,50.89,Moderate,54.16,82.73,Very High,45.0,Moderate,Creighton University,21-Nov,36.82,Low,32.5,Low,38.64,Low,31.73,Low,37.96,Low,43.75,Moderate,50.0,Moderate,1.22,5.31,0.38,1.15,1.52,4.44,3.79,4.58,3.4,0.34,4.75,2.35,65.4,88.5,47.2,25.2,36,87.9,89.5,57.6,71.9,55.7,68.5,83.1,41.0,67.5,24.7,7.8,21.3,67.5,65.8,34.7,52.4,33.5,47.4,58.8,Creighton University,0.00%,3.57%,25.0,"4,548.21",92.86%,19.31,14.73,14.51,18.27,70.37,0.00%,33.0,18.37,19.13,19.13,19.13,99.33,0.00%,,0.00%,Creighton University,3.0,5.0,3.57%,0.00%
Philadelphia,Drexel University was established in 1891 as a private institution. Drexel University follows a quarter-based academic calendar and students can receive on-the-job experience through the cooperative education program.,Drexel University,https://www.usnews.com/best-colleges/drexel-university-3256,"Philadelphia, PA",DREXEL UNIVERSITY,103,4.3,83%,https://www.usnews.com/best-colleges/drexel-university-3256/reviews,24.0,PA,57136.0,14552,70.86,High,"Philadelphia, PA",166.0,62.91,76.77,High,75.63,High,67.94,High,62.82,High,70.52,High,37.09,62.2,High,30.76,Low,Drexel University,22-Mar,57.62,Moderate,61.23,High,59.82,Moderate,43.47,Moderate,48.14,Moderate,53.07,Moderate,63.28,High,2.69,6.18,1.64,4.65,1.55,6.72,3.06,4.21,3.24,0.46,4.82,4.61,65.7,87.1,52.6,39.7,42,87.3,84.6,57.1,74.2,55.7,71.7,80.1,45.6,71.3,38.0,28.8,29.5,70.4,65.5,37.7,53.9,37.8,56.5,63.0,Drexel University,5.08%,1.69%,60.0,"7,389.21",57.63%,16.09,29.97,22.52,42.0,270.9,1.69%,105.0,42.41,40.26,"1,690.54",40.26,183.8,6.78%,,0.00%,Drexel University,40.0,5.0,16.95%,10.17%
Chicago,"Loyola University Chicago is the largest Jesuit school in the country. The university has two locations in Chicago, known as Lake Shore and Water Tower, as well as an international campus in Rome.",Loyola University Chicago,https://www.usnews.com/best-colleges/loyola-university-chicago-1710,"Chicago, IL",LOYOLA UNIVERSITY CHICAGO,103,4.3,75%,https://www.usnews.com/best-colleges/loyola-university-chicago-1710/reviews,8.0,IL,47498.0,11612,71.98,High,"Chicago, IL",448.0,66.0,70.69,High,78.46,High,68.93,High,71.23,High,71.35,High,34.0,55.77,Moderate,25.34,Low,Loyola University Chicago,22-Mar,62.19,High,60.96,High,64.5,High,48.14,Moderate,55.61,Moderate,56.46,Moderate,65.63,High,0.71,4.51,2.3,1.26,1.96,1.89,6.78,1.25,1.79,0.72,5.78,1.23,61.3,86.2,45.8,27.5,34,82.3,83.8,53.3,69.7,48.1,66.6,79.8,42.5,68.1,30.3,13.2,24.5,66.5,64.8,35.3,50.8,32.5,52.7,60.7,Loyola University Chicago,3.62%,5.80%,25.25,"7,368.34",56.52%,8.07,30.57,23.28,45.26,212.3,0.00%,37.12,46.47,41.85,"2,202.54",41.85,189.2,15.94%,3.75,0.00%,Loyola University Chicago,4.25,3.88,13.04%,5.07%
Oxford,"Miami University students make up three-fourths of the population of the approximately 7-square-mile town of Oxford, Ohio. Freshmen must live on campus, which is also home to more than 400 student organizations. The Greek system constitutes a large part of campus life, with about a third of the student body involved in nearly 50 fraternities and sororities. In fact, the school often gets the moniker ?é?Mother of Fraternities?é?because the Beta Theta Pi, Phi Delta Theta, Phi Kappa Tau and Sigma Chi organizations were founded at Miami University. The school is also known as ""Cradle of Coaches"" for the number of professional and collegiate coaches who once competed for Miami. The RedHawks, who compete in the Division I Mid-American Conference, were known as the Redskins until 1997. The name was changed after years of controversy and a request from the Miami Indian Tribe. (The tribe is the namesake of the university.) To help ease the transition into freshman year, older students often create a guide to life at Miami University, called the ""M Book."" Student couples who marry are known as ""Miami Mergers"" and are reminded of their alma mater each Valentine's Day, when the admissions office sends cards to congratulate former students on finding love at school.To travel around campus and Oxford, students can use the Butler County Regional Transit Authority buses, free with student ID, and the door-to-door SafeRide shuttle service after dark. Cincinnati and Dayton are 35 and 45 miles away, respectively. Notable alumni of Miami University include Paul Brown, Hall of Fame NFL coach; Richard Smucker, chief executive officer of The J.M. Smucker Co.; and Benjamin Harrison, former president of the United States.",Miami University--Oxford,https://www.usnews.com/best-colleges/miami-university-7104,"Oxford, OH",MIAMI UNIVERSITY--OXFORD,103,0.0,91%,https://www.usnews.com/best-colleges/miami-university-7104/reviews,12.0,OH,37379.0,16522,,,,,,,,,,,,,,,,,,,,,Miami University--Oxford,,,,,,,,,,,,,,,,2.91,2.78,4.4,2.16,2.68,5.65,7.11,4.03,4.68,1.89,3.61,3.18,64.5,87.0,52.4,34.8,37.5,84.3,83.2,59.3,72.4,51.1,70.5,80.3,40.5,65.6,30.9,19.9,26.6,64.6,62.0,33.6,48.1,30.2,52.0,57.1,Miami University--Oxford,,,,,,,,,,,,,,,,,,,,,Miami University--Oxford,,,,
Newark,"Founded in 1881, New Jersey Institute of Technology is a public institution. The school has 34.8% of its classes with fewer than 20 students, and the student-faculty ratio at New Jersey Institute of Technology is 15:1.",New Jersey Institute of Technology,https://www.usnews.com/best-colleges/njit-2621,"Newark, NJ",NEW JERSEY INSTITUTE OF TECHNOLOGY,103,4.6,100%,https://www.usnews.com/best-colleges/njit-2621/reviews,14.0,NJ,33386.0,9084,63.71,High,"Newark, NJ",32.0,71.47,85.0,Very High,82.5,Very High,78.23,High,57.76,Moderate,78.23,High,28.53,47.58,Moderate,20.16,Low,New Jersey Institute of Technology,21-Nov,71.77,High,70.0,High,78.23,High,49.17,Moderate,70.97,High,61.29,High,70.97,High,2.27,8.35,1.31,3.84,2.15,8.26,3.45,3.13,4.97,1.01,6.07,9.53,64.2,84.3,47.9,38.3,40.1,85.0,82.8,54.0,72.0,53.3,68.9,77.3,41.6,67.8,34.1,24.7,26.5,66.6,62.3,33.4,50.2,34.5,52.2,60.0,New Jersey Institute of Technology,0.00%,0.00%,,"11,305.00",83.33%,,31.22,26.42,51.0,291.61,0.00%,,51.0,47.5,"4,785.70",47.5,240.08,0.00%,,0.00%,New Jersey Institute of Technology,,,16.67%,0.00%
St. Louis,"St. Louis University is a Catholic, Jesuit school that is open to students of any faith. The Campus Ministry organizes specialized retreats and mission trips throughout the year, and the on-campus church holds a daily Mass. In addition to religious extracurriculars, students can also choose from more than 150 student organizations at SLU, including more than 20 fraternities and sororities. Freshmen and sophomores must live on campus, unless they commute from a parent's home, are married or have been in the military for at least two years, among other exemptions. In total, about 90 percent of freshmen live on campus ?é?all in halls exclusively for first-year students. Students can get involved in campus leadership positions as early as the second semester of freshman year.The St. Louis Billikens compete in the NCAA Division I Atlantic 10 Conference. The Billiken is an unusual mascot ?é?a smiling, gnome-like figure that is a considered to be a good-luck charm. Off campus, students can explore downtown St. L, home to the Grand Center arts district, the Anheuser-Busch Brewery and several professional sports teams. On the nearby Mississippi Riverfront, students can bike, sail and check out the Museum of Westward Expansion.In addition to its main location in Missouri, the university also has a campus in Madrid, Spain, where students can study for the entirety of their college career or for just a semester. At the main campus, graduate students can enroll in the university's law school or medical school. Notable alumni include Enrique Bolanos, former president of Nicaragua, and August Busch IV, former president and CEO of Anheuser-Busch Inc.",Saint Louis University,https://www.usnews.com/best-colleges/st-louis-university-2506,"St. Louis, MO",SAINT LOUIS UNIVERSITY,103,5.0,100%,https://www.usnews.com/best-colleges/st-louis-university-2506/reviews,6.0,MO,48824.0,7357,,,,,,,,,,,,,,,,,,,,,Saint Louis University,,,,,,,,,,,,,,,,4.11,4.85,2.76,1.64,3.82,5.95,5.33,5.17,2.86,0.35,2.62,3.04,67.4,90.7,57.9,34.4,40.9,88.1,88.2,61.9,74.8,57.6,72.6,85.2,46.8,71.6,36.1,18.7,29.1,71.0,69.6,42.3,55.8,35.8,55.1,64.6,Saint Louis University,,,,,,,,,,,,,,,,,,,,,Saint Louis University,,,,
Philadelphia,"Temple University is an urban college in Philadelphia that offers around 300 student organizations. Center City, a hub of shopping and city life, is about two miles from campus.",Temple University,https://www.usnews.com/best-colleges/temple-university-3371,"Philadelphia, PA",TEMPLE UNIVERSITY,103,5.0,100%,https://www.usnews.com/best-colleges/temple-university-3371/reviews,8.0,PA,34801.0,27306,70.86,High,"Philadelphia, PA",166.0,62.91,76.77,High,75.63,High,67.94,High,62.82,High,70.52,High,37.09,62.2,High,30.76,Low,Temple University,22-Mar,57.62,Moderate,61.23,High,59.82,Moderate,43.47,Moderate,48.14,Moderate,53.07,Moderate,63.28,High,2.69,6.18,1.64,4.65,1.55,6.72,3.06,4.21,3.24,0.46,4.82,4.61,65.7,87.1,52.6,39.7,42,87.3,84.6,57.1,74.2,55.7,71.7,80.1,45.6,71.3,38.0,28.8,29.5,70.4,65.5,37.7,53.9,37.8,56.5,63.0,Temple University,5.08%,1.69%,60.0,"7,389.21",57.63%,16.09,29.97,22.52,42.0,270.9,1.69%,105.0,42.41,40.26,"1,690.54",40.26,183.8,6.78%,,0.00%,Temple University,40.0,5.0,16.95%,10.17%
Tucson,"The University of Arizona offers its students a wide variety of ways to get involved, from joining the ZonaZoo cheering section at Wildcats sports games to checking out the burgeoning Greek scene with more than 50 fraternities and sororities.",University of Arizona,https://www.usnews.com/best-colleges/university-of-arizona-1083,"Tucson, AZ",UNIVERSITY OF ARIZONA,103,4.5,82%,https://www.usnews.com/best-colleges/university-of-arizona-1083/reviews,17.0,AZ,34667.0,36503,61.79,High,"Tucson, AZ",72.0,50.19,62.88,High,60.36,High,64.13,High,51.89,Moderate,51.41,Moderate,49.81,73.59,High,46.53,Moderate,University of Arizona,22-Jan,39.93,Low,39.06,Low,39.08,Low,30.68,Low,45.14,Moderate,53.12,Moderate,53.17,Moderate,0.0,3.85,1.35,0,0.73,8.06,0.17,0.31,0.0,0.01,0.01,0.72,86.3,97.0,70.0,72.3,68.4,97.2,104.6,75.1,94.0,82.6,86.6,95.9,57.6,74.4,44.4,43.6,39.8,74.4,75.0,46.3,62.6,51.3,55.6,70.1,University of Arizona,3.77%,0.00%,,"6,389.76",81.13%,,18.94,17.57,27.16,130.87,1.89%,,28.09,28.29,53.66,28.29,126.99,0.00%,,1.89%,University of Arizona,,,3.77%,7.55%
Santa Cruz,"At the University of California?é?Santa Cruz, one of 10 schools in the state's university system, residence life can define a student's experience. Nearly 100 percent of freshmen live on campus and choose one of 10 residential colleges to join. These small groups have their own campus locations, as well as unique architecture and programming. Kresge College, for example, is home to an organic garden where students can take classes; students who are members of the College Nine community are often active in volunteer efforts and the college's Alternative Spring Break trips. Students living in residence halls may only have overnight guests 15 times a school year, for a maximum of three nights each visit. Students also have the option to reside in single-occupant recreational vehicles in the Camper Park, a unique community of students who live in university-maintained, home-like vehicles and share a common bathroom and lounge.On campus, there are more than 25 miles of hiking and jogging trails, and more than 15student clubs and organizations. Only about 1 percent of students are members of the school's small Greek system. The UC Santa Cruz sports teams are independent competitors in the NCAA's Division III. Athletes are cheered on by the Banana Slug, a nontraditional, yellow earthen creature that has been recognized among the best mascots in the country. For fun, students can tour Dead Central, a room full of Grateful Dead memorabilia donated by the band to UCSC, or explore the small beach town of Santa Cruz, located on Monterey Bay. There are rides and games on the Santa Cruz Beach Boardwalk, and opportunities for swimming, sailing and kayaking on the bay. To get around, students can travel on the Santa Cruz Metropolitan Transit District buses for free with school ID. For longer road trips, Monterey is 45 miles away, and San Francisco is a 75-mile trip.In particular, this public research institution?é?s academic prowess looks to the skies. The school is nationally known for astronomy and space sciences programs.ther creative programs include a computer game design major, and UCSC was the first school in the University of California system to offer the degree. Female engineers are in especially good company at UCSC; the school is noted for offering one of the highest percentages of engineering graduate degrees to women. Notable alumni include Pulitzer Prize-winning journalist Dana Priest, NPR broadcast producers Nikki Silva and Davia Nelson, known as The Kitchen Sisters, and romance novelist Jayne Ann Krentz, who often writes under the pseudonyms Amanda Quick and Jayne Castle.",University of California--Santa Cruz,https://www.usnews.com/best-colleges/university-of-california-santa-cruz-1321,"Santa Cruz, CA",UNIVERSITY OF CALIFORNIA--SANTA CRUZ,103,4.6,90%,https://www.usnews.com/best-colleges/university-of-california-santa-cruz-1321/reviews,10.0,CA,43820.0,17207,76.04,High,"Santa Cruz, CA",24.0,40.36,65.22,High,41.3,Moderate,56.25,Moderate,18.48,Very Low,36.46,Low,59.64,85.42,Very High,45.83,Moderate,University of California--Santa Cruz,22-Jan,28.12,Low,51.09,Moderate,26.04,Low,15.91,Very Low,28.12,Low,40.62,Moderate,51.04,Moderate,0.09,0.01,14.69,1.46,7.42,0.02,0.02,2.85,0.01,1.77,6.06,0.02,66.0,78.4,56.5,63.0,61.6,76.8,76.5,62.4,71.2,69.7,72.3,78.5,42.8,55.3,41.0,39.8,40.7,54.5,51.5,38.5,46.0,45.9,48.5,53.7,University of California--Santa Cruz,6.25%,0.00%,,"6,916.00",87.50%,,31.96,28.54,29.71,230.85,0.00%,,30.21,30.12,115.07,30.12,139.21,0.00%,,0.00%,University of California--Santa Cruz,,,6.25%,0.00%
Chicago,"The University of Illinois?é?Chicago, also known as UIC, is a large, public research institution. Each spring, students present their findings at the Student Research Foru",University of Illinois--Chicago,https://www.usnews.com/best-colleges/university-of-illinois-chicago-1776,"Chicago, IL",UNIVERSITY OF ILLINOIS--CHICAGO,103,4.9,100%,https://www.usnews.com/best-colleges/university-of-illinois-chicago-1776/reviews,7.0,IL,31787.0,21921,71.98,High,"Chicago, IL",448.0,66.0,70.69,High,78.46,High,68.93,High,71.23,High,71.35,High,34.0,55.77,Moderate,25.34,Low,University of Illinois--Chicago,22-Mar,62.19,High,60.96,High,64.5,High,48.14,Moderate,55.61,Moderate,56.46,Moderate,65.63,High,0.71,4.51,2.3,1.26,1.96,1.89,6.78,1.25,1.79,0.72,5.78,1.23,61.3,86.2,45.8,27.5,34,82.3,83.8,53.3,69.7,48.1,66.6,79.8,42.5,68.1,30.3,13.2,24.5,66.5,64.8,35.3,50.8,32.5,52.7,60.7,University of Illinois--Chicago,3.62%,5.80%,25.25,"7,368.34",56.52%,8.07,30.57,23.28,45.26,212.3,0.00%,37.12,46.47,41.85,"2,202.54",41.85,189.2,15.94%,3.75,0.00%,University of Illinois--Chicago,4.25,3.88,13.04%,5.07%
San Francisco,The University of San Francisco is a Jesuit institution located in the California Bay Area. USF is committed to giving back to the surrounding community and offers service-learning semesters for students interested in volunteer work.,University of San Francisco,https://www.usnews.com/best-colleges/university-of-san-francisco-1325,"San Francisco, CA",UNIVERSITY OF SAN FRANCISCO,103,4.6,93%,https://www.usnews.com/best-colleges/university-of-san-francisco-1325/reviews,15.0,CA,53472.0,5852,72.9,High,"San Francisco, CA",277.0,59.55,76.59,High,66.61,High,74.36,High,45.4,Moderate,56.07,Moderate,40.45,65.79,High,35.64,Low,University of San Francisco,22-Mar,53.71,Moderate,64.19,High,54.89,Moderate,34.02,Low,53.39,Moderate,52.75,Moderate,75.74,High,0.0,0.0,9.81,1.26,2.92,0.0,0.0,1.39,0.0,0.63,5.84,0.0,65.1,74.7,55.3,63.2,60,72.0,73.6,63.1,68.1,66.9,70.8,75.6,47.3,56.7,45.5,45.6,45.2,54.4,54.4,44.2,50.0,50.4,52.9,56.0,University of San Francisco,4.96%,9.09%,41.18,"9,254.88",53.72%,21.29,62.54,39.97,61.51,577.39,0.83%,59.82,62.18,51.23,"7,236.92",51.23,256.53,9.92%,2.0,1.65%,University of San Francisco,4.55,6.18,17.36%,2.48%
Tampa,"The University of South Florida, or USF, is a large public school that is committed to research. The school has a sizeable commuter population and offers bus transportation and a commuter network to accommodate students who don?é?t live on campu",University of South Florida,https://www.usnews.com/best-colleges/university-of-south-florida-1537,"Tampa, FL",UNIVERSITY OF SOUTH FLORIDA,103,0.0,100%,https://www.usnews.com/best-colleges/university-of-south-florida-1537/reviews,14.0,FL,17324.0,38579,60.71,High,"Tampa, FL",79.0,47.7,55.14,Moderate,53.38,Moderate,53.25,Moderate,41.22,Moderate,49.04,Moderate,52.3,72.44,High,41.03,Moderate,University of South Florida,22-Mar,46.05,Moderate,46.33,Moderate,42.95,Moderate,32.43,Low,41.56,Moderate,42.31,Moderate,53.29,Moderate,3.35,7.42,0.59,3.74,0.82,7.31,12.6,1.07,0.16,3.52,1.35,7.39,82.5,91.6,79.8,76.0,69.7,91.9,91.1,79.3,89.7,77.2,88.0,89.7,65.3,78.3,63.3,58.6,53.8,78.1,76.4,62.6,72.5,59.6,72.8,76.4,University of South Florida,0.00%,0.00%,,"9,394.00",91.80%,,28.65,28.31,35.59,200.52,0.00%,,35.68,35.84,687.07,35.84,173.14,0.00%,,0.00%,University of South Florida,,,1.64%,6.56%
Knoxville,"The University of Tennessee is a public research institution in Knoxville, one of the state?é?s largest cities. The UT sports teams compete in the NCAA Division I Southeastern Conference and traditionally draw large crowds during football seaso",University of Tennessee,https://www.usnews.com/best-colleges/university-of-tennessee-3530,"Knoxville, TN",UNIVERSITY OF TENNESSEE,103,5.0,100%,https://www.usnews.com/best-colleges/university-of-tennessee-3530/reviews,6.0,TN,31434.0,24254,62.5,High,"Knoxville, TN",40.0,41.7,52.7,Moderate,46.25,Moderate,46.79,Moderate,40.91,Moderate,40.38,Moderate,58.3,82.05,Very High,56.41,Moderate,University of Tennessee,21-Dec,38.46,Low,41.89,Moderate,38.16,Low,31.76,Low,35.9,Low,36.18,Low,42.95,Moderate,1.23,10.12,3.52,4.36,2.66,1.7,2.85,9.11,3.62,1.12,4.53,1.72,69.7,88.4,61.1,51.2,46.8,88.5,85.2,65.7,76.9,58.1,72.7,80.7,46.0,69.2,40.7,32.5,32.6,68.9,65.7,42.5,55.0,33.9,54.2,61.0,University of Tennessee,0.00%,0.00%,,"6,415.29",94.44%,,24.02,24.02,24.12,127.29,0.00%,,24.12,24.12,24.12,24.12,120.41,0.00%,,0.00%,University of Tennessee,,,0.00%,5.56%
Tempe,"Arizona State University?é?s Tempe campus offers more than 200 research-based programs in the arts, business, engineering and more. The campus is located just outside of Phoenix, in the suburb of Tempe, Arizon",Arizona State University,https://www.usnews.com/best-colleges/arizona-state-university-1081,"Tempe, AZ",ARIZONA STATE UNIVERSITY,117,4.2,81%,https://www.usnews.com/best-colleges/arizona-state-university-1081/reviews,21.0,AZ,29438.0,63124,65.0,High,"Tempe, AZ",12.0,42.74,65.91,High,50.0,Moderate,59.09,Moderate,36.36,Low,43.18,Moderate,57.26,84.09,Very High,65.91,High,Arizona State University,22-Jan,40.91,Moderate,38.64,Low,30.0,Low,35.0,Low,32.5,Low,35.0,Low,45.0,Moderate,0.03,2.67,2.19,0.04,1.11,2.98,0.11,0.25,0.0,0.0,0.4,0.79,86.8,100.8,66.6,70.9,66,101.8,105.3,73.9,93.1,80.4,83.8,97.4,56.2,76.6,42.7,42.7,40.1,78.3,74.4,45.7,61.5,51.4,55.8,71.6,Arizona State University,0.00%,0.00%,,"5,987.50",87.50%,,19.67,20.34,25.0,103.31,0.00%,,25.0,28.12,50.26,28.12,122.76,0.00%,,12.50%,Arizona State University,,,0.00%,0.00%
Rochester,The Rochester Institute of Technology emphasizes co-op experiences in many of its academic programs. Students may also complete accelerated degree programs to earn both a bachelor's and a master's degree.,Rochester Institute of Technology,https://www.usnews.com/best-colleges/rit-2806,"Rochester, NY",ROCHESTER INSTITUTE OF TECHNOLOGY,117,3.9,73%,https://www.usnews.com/best-colleges/rit-2806/reviews,15.0,NY,52756.0,13412,75.47,High,"Rochester, NY",53.0,63.69,79.59,High,73.5,High,70.59,High,54.59,Moderate,68.4,High,36.31,53.3,Moderate,25.0,Low,Rochester Institute of Technology,22-Mar,56.13,Moderate,59.69,Moderate,61.27,High,47.4,Moderate,47.55,Moderate,55.39,Moderate,64.5,High,3.32,3.08,1.96,1.85,1.89,7.66,2.1,0.92,1.41,1.84,6.9,3.41,56.3,82.1,43.2,30.0,32.6,77.6,80.1,49.2,66.8,47.9,63.9,73.4,37.8,64.3,30.1,16.0,23.5,61.4,59.8,27.9,45.8,33.5,50.6,55.1,Rochester Institute of Technology,0.00%,4.55%,10.0,"5,459.09",86.36%,3.22,24.88,21.73,23.68,122.64,0.00%,12.0,23.74,22.02,22.02,22.02,111.68,0.00%,,0.00%,Rochester Institute of Technology,,2.0,9.09%,0.00%
Syracuse,"The SUNY College of Environmental Science and Forestry offers students a niche education with the benefits of life at a large institution. ESF, as the small school is known for short, offers about 20 Bachelor of Science degrees ranging from aquatics and fisheries science to paper engineering, as well as a landscape architecture program. Students can get a broader experience, however, through neighbor school Syracuse University. The two institutions, both located in Syracuse, New York, have a collegiate partnership. ESF students can enroll in courses, live in residence halls, use campus facilities and join student organizations at Syracuse University. ESF and Syracuse students even graduate in a joint commencement ceremony each May. All ESF freshmen must live on the school?é?s campus, however. The school has its own array of about 35 clubs. The ESF Mighty Oaks sports teams compete in the United States Collegiate Athletic Association, made up of small schools, and students can take part in club and intramuralports at Syracuse. ESF has an additional campus in the Adirondack Mountains, called the Ranger School, where students can study forest technology, land surveying technology, and environmental and natural resources conservation. The Ranger School offers associate degree programs, as well as courses toward a bachelor's degree. Earth Day is a weeklong celebration at the environmental school, with events like yoga on the campus quad, student-wide barbecues and volunteer clean-ups of local streams.ESF is one of 64 schools in the State University of New York system. The university is often recognized for its sustainability efforts, and its faculty is highly engaged in research projects. ESF has produced notable graduates, including Reginald Balch, a Canadian photographer and scientist, and Sol Feinstone, a historian and author.",SUNY College of Environmental Science and Forestry,https://www.usnews.com/best-colleges/suny-environmental-science-and-forestry-2851,"Syracuse, NY",SUNY COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY,117,5.0,100%,https://www.usnews.com/best-colleges/suny-environmental-science-and-forestry-2851/reviews,2.0,NY,19976.0,1731,75.0,High,"Syracuse, NY",24.0,62.44,73.86,High,77.38,High,65.22,High,46.74,Moderate,68.48,High,37.56,48.91,Moderate,23.91,Low,SUNY College of Environmental Science and Forestry,22-Mar,53.26,Moderate,55.95,Moderate,58.7,Moderate,40.91,Moderate,43.48,Moderate,54.35,Moderate,66.3,High,2.53,6.58,3.56,1.94,2.55,6.94,6.44,1.36,2.56,3.3,7.48,2.68,59.5,84.7,44.4,32.5,32.3,81.4,83.7,50.3,70.4,49.1,67.2,75.9,38.8,66.2,31.7,17.9,22.4,63.4,61.4,27.0,47.6,33.1,50.8,56.1,SUNY College of Environmental Science and Forestry,0.00%,0.00%,,"4,547.00",77.78%,,19.13,17.14,19.43,102.55,0.00%,,19.86,19.5,19.5,19.5,101.47,0.00%,,0.00%,SUNY College of Environmental Science and Forestry,,,11.11%,11.11%
Columbia,"At the University of South Carolina, freshmen students are eased into college life through University 101, a transition program pioneered at the school. The Columbia campus is the flagship location for the University of South Carolina system.",University of South Carolina,https://www.usnews.com/best-colleges/university-of-south-carolina-3448,"Columbia, SC",UNIVERSITY OF SOUTH CAROLINA,117,4.6,90%,https://www.usnews.com/best-colleges/university-of-south-carolina-3448/reviews,11.0,SC,33928.0,27270,69.44,High,"Columbia, SC",27.0,51.61,59.0,Moderate,56.73,Moderate,54.0,Moderate,55.0,Moderate,51.92,Moderate,48.39,65.74,High,34.26,Low,University of South Carolina,20-Oct,47.12,Moderate,39.0,Low,45.19,Moderate,44.0,Moderate,42.31,Moderate,47.12,Moderate,53.0,Moderate,0.8,9.56,3.92,6.39,5.31,6.09,3.71,3.44,2.64,0.28,1.48,4.09,77.2,90.0,66.6,58.7,55.4,90.2,88.4,70.4,83.6,66.1,78.7,85.3,49.6,72.7,43.0,38.2,35.9,71.4,69.2,46.5,56.9,37.9,57.0,63.6,University of South Carolina,0.00%,0.00%,,"7,014.00",100.00%,,28.11,28.11,26.37,151.32,0.00%,,26.37,26.37,28.71,26.37,127.78,0.00%,,0.00%,University of South Carolina,,,0.00%,0.00%
